  842	114632	numb:
  843	114633	nut?
  844	114634	oaf!
  845	114635	oak@
  846	114636	oat#
  847	114641	oath$
  848	114642	oboe%
  849	114643	odd&
  850	114644	off*
  851	114645	ogre~
  852	114646	ohio1
  853	114651	oil2
  854	114652	oink3
  855	114653	okay4
  856	114654	old5
  857	114655	omen6
  858	114656	omit7
  859	114661	once8
  860	114662	only9
  861	114663	onto0
  862	114664	onyx.
  863	114665	ooze-
  864	114666	oozy+
  865	115111	opal:
  866	115112	open?
  867	115113	opt!
  868	115114	orb@
  869	115115	orca#
  870	115116	ore$
  871	115121	ouch%
  872	115122	our&
  873	115123	out*
  874	115124	oval~
  875	115125	oven1
  876	115126	over2
  877	115131	owe3
  878	115132	owed4
  879	115133	owl5
  880	115134	own6
  881	115135	pace7
  882	115136	pack8
  883	115141	pact9
  884	115142	pad0
  885	115143	page.
  886	115144	paid-
  887	115145	pair+
  888	115146	pal:
  889	115151	pale?
  890	115152	palm!
  891	115153	pan@
  892	115154	pang#
  893	115155	pant$
  894	115156	par%
  895	115161	park&
  896	115162	part*
  897	115163	path~
  898	115164	paw1
  899	115165	pawn2
  900	115166	pay3
  901	115211	pea4
  902	115212	peak5
  903	115213	pear6
  904	115214	peck7
  905	115215	peek8
  906	115216	peel9
  907	115221	peep0
  908	115222	peer.
  909	115223	pelt-
  910	115224	pen+
  911	115225	pep:
  912	115226	per?
  913	115231	perm!
  914	115232	peso@
  915	115233	pest#
  916	115234	pet$
  917	115235	pick%
  918	115236	pie&
  919	115241	pier*
  920	115242	pig~
  921	115243	pike1
  922	115244	pile2
  923	115245	pill3
  924	115246	pin4
  925	115251	pine5
  926	115252	ping6
  927	115253	pink7
  928	115254	pint8
  929	115255	pip9
  930	115256	pipe0
  931	115261	pit.
  932	115262	pity-
  933	115263	plan+
  934	115264	play:
  935	115265	plea?
  936	115266	plod!
  937	115311	plop@
  938	115312	plot#
  939	115313	plow$
  940	115314	ploy%
  941	115315	plug&
  942	115316	plum*
  943	115321	pod~
  944	115322	poem1
  945	115323	poet2
  946	115324	pogo3
  947	115325	poke4
  948	115326	pole5
  949	115331	poll6
  950	115332	polo7
  951	115333	pond8
  952	115334	pong9
  953	115335	pony0
  954	115336	poof.
  955	115341	pool-
  956	115342	pop+
  957	115343	pope:
  958	115344	pork?
  959	115345	port!
  960	115346	pose@
  961	115351	posh#
  962	115352	post$
  963	115353	pot%
  964	115354	pour&
  965	115355	pout*
  966	115356	pow~
  967	115361	pox1
  968	115362	prep2
  969	115363	prey3
  970	115364	pro4
  971	115365	prop5
  972	115366	pry6
  973	115411	puck7
  974	115412	puff8
  975	115413	pug9
  976	115414	pull0
  977	115415	pulp.
  978	115416	puma-
  979	115421	pump+
  980	115422	pun:
  981	115423	punk?
  982	115424	pup!
  983	115425	pure@
  984	115426	purr#
  985	115431	push$
  986	115432	put%
  987	115433	putt&
  988	115434	quad*
  989	115435	quit~
  990	115436	quiz1
  991	115441	race2
  992	115442	rack3
  993	115443	rad4
  994	115444	raft5
  995	115445	rag6
  996	115446	rage7
  997	115451	raid8
  998	115452	rail9
  999	115453	rain0
 1000	115454	rake.
 1001	115455	ram-
 1002	115456	ramp+
 1003	115461	ran:
 1004	115462	rang?
 1005	115463	rank!
 1006	115464	rare@
 1007	115465	rash#
 1008	115466	rat$
 1009	115511	rate%
 1010	115512	rave&
 1011	115513	raw*
 1012	115514	ray~
 1013	115515	read1
 1014	115516	real2
 1015	115521	ream3
 1016	115522	reap4
 1017	115523	rear5
 1018	115524	red6
 1019	115525	redo7
 1020	115526	reed8
 1021	115531	reef9
 1022	115532	reel0
 1023	115533	ref.
 1024	115534	rely-
 1025	115535	rent+
 1026	115536	rep:
 1027	115541	rest?
 1028	115542	rib!
 1029	115543	rice@
 1030	115544	rich#
 1031	115545	rid$
 1032	115546	ride%
 1033	115551	rift&
 1034	115552	rig*
 1035	115553	rim~
 1036	115554	rind1
 1037	115555	ring2
 1038	115556	rink3
 1039	115561	riot4
 1040	115562	rip5
 1041	115563	ripe6
 1042	115564	rise7
 1043	115565	risk8
 1044	115566	ritz9
 1045	115611	road0
 1046	115612	roam.
 1047	115613	roar-
 1048	115614	robe+
 1049	115615	rock:
 1050	115616	rode?
 1051	115621	role!
 1052	115622	roll@
 1053	115623	rome#
 1054	115624	romp$
 1055	115625	roof%
 1056	115626	rook&
 1057	115631	room*
 1058	115632	root~
 1059	115633	rope1
 1060	115634	rose2
 1061	115635	rosy3
 1062	115636	rot4
 1063	115641	row5
 1064	115642	rub6
 1065	115643	ruby7
 1066	115644	rug8
 1067	115645	ruin9
 1068	115646	rule0
 1069	115651	run.
 1070	115652	rung-
 1071	115653	runt+
 1072	115654	ruse:
 1073	115655	rush?
 1074	115656	rust!
 1075	115661	rut@
 1076	115662	rye#
 1077	115663	sack$
 1078	115664	safe%
 1079	115665	saga&
 1080	115666	sage*
 1081	116111	said~
 1082	116112	sail1
 1083	116113	sake2
 1084	116114	sale3
 1085	116115	salt4
 1086	116116	same5
 1087	116121	sand6
 1088	116122	sane7
 1089	116123	sang8
 1090	116124	sank9
 1091	116125	sap0
 1092	116126	sash.
 1093	116131	sat-
 1094	116132	save+
 1095	116133	saw:
 1096	116134	say?
 1097	116135	scam!
 1098	116136	scan@
 1099	116141	sea#
 1100	116142	seal$
 1101	116143	seat%
 1102	116144	see&
 1103	116145	seed*
